main_category,sub_category,sub_type,used,updated_date,Column1
Services,,tour_agency *,FALSE,2024-11-07,tour_agency
Services,,tourist_information_center *,FALSE,2024-11-07,tourist_information_center
Services,,travel_agency,FALSE,2024-01-01,travel_agency
Services,,veterinary_care,FALSE,2024-01-01,veterinary_care
Shopping,,asian_grocery_store *,TRUE,2024-11-07,asian_grocery_store
Shopping,,auto_parts_store,FALSE,2024-01-01,auto_parts_store
Shopping,,bicycle_store,FALSE,2024-01-01,bicycle_store
Shopping,,book_store,FALSE,2024-01-01,book_store
Shopping,,butcher_shop *,FALSE,2024-11-07,butcher_shop
Shopping,,cell_phone_store,FALSE,2024-01-01,cell_phone_store
Shopping,,clothing_store,FALSE,2024-01-01,clothing_store
Shopping,,convenience_store,FALSE,2024-01-01,convenience_store
Shopping,,department_store,TRUE,2024-01-01,department_store
Shopping,,discount_store,FALSE,2024-01-01,discount_store
Shopping,,electronics_store,FALSE,2024-01-01,electronics_store
Shopping,,food_store *,TRUE,2024-11-07,food_store
Shopping,,furniture_store,FALSE,2024-01-01,furniture_store
Shopping,,gift_shop,TRUE,2024-01-01,gift_shop
Shopping,,grocery_store,FALSE,2024-01-01,grocery_store
Shopping,,hardware_store,FALSE,2024-01-01,hardware_store
Shopping,,home_goods_store,FALSE,2024-01-01,home_goods_store
Shopping,,home_improvement_store,FALSE,2024-01-01,home_improvement_store
Shopping,,jewelry_store,FALSE,2024-01-01,jewelry_store
Shopping,,liquor_store,FALSE,2024-01-01,liquor_store
Shopping,,market,TRUE,2024-01-01,market
Shopping,,pet_store,FALSE,2024-01-01,pet_store
Shopping,,shoe_store,TRUE,2024-01-01,shoe_store
Shopping,,shopping_mall,TRUE,2024-01-01,shopping_mall
Shopping,,sporting_goods_store,FALSE,2024-01-01,sporting_goods_store
Shopping,,store,FALSE,2024-01-01,store
Shopping,,supermarket,TRUE,2024-01-01,supermarket
Shopping,,warehouse_store *,TRUE,2024-11-07,warehouse_store
Shopping,,wholesaler,FALSE,2024-01-01,wholesaler
Sports,,arena *,TRUE,2024-11-07,arena
Sports,,athletic_field,FALSE,2024-01-01,athletic_field
Sports,,fishing_charter *,FALSE,2024-11-07,fishing_charter
Sports,,fishing_pond *,FALSE,2024-11-07,fishing_pond
Sports,,fitness_center,FALSE,2024-01-01,fitness_center
Sports,,golf_course,FALSE,2024-01-01,golf_course
Sports,,gym,FALSE,2024-01-01,gym
Sports,,ice_skating_rink *,FALSE,2024-11-07,ice_skating_rink
Sports,,playground *,FALSE,2024-11-07,playground
Sports,,ski_resort,FALSE,2024-01-01,ski_resort
Sports,,sports_activity_location *,FALSE,2024-11-07,sports_activity_location
Sports,,sports_club,FALSE,2024-01-01,sports_club
Sports,,sports_coaching *,FALSE,2024-11-07,sports_coaching
Sports,,sports_complex,FALSE,2024-01-01,sports_complex
Sports,,stadium,TRUE,2024-01-01,stadium
Sports,,swimming_pool,FALSE,2024-01-01,swimming_pool
Transportation,,airport,TRUE,2024-01-01,airport
Transportation,,airstrip *,FALSE,2024-11-07,airstrip
Transportation,,bus_station,TRUE,2024-01-01,bus_station
Transportation,,bus_stop,TRUE,2024-01-01,bus_stop
Transportation,,ferry_terminal,TRUE,2024-01-01,ferry_terminal
Transportation,,heliport,FALSE,2024-01-01,heliport
Transportation,,international_airport *,TRUE,2024-11-07,international_airport
Transportation,,light_rail_station,TRUE,2024-01-01,light_rail_station
Transportation,,park_and_ride *,FALSE,2024-11-07,park_and_ride
Transportation,,subway_station,TRUE,2024-01-01,subway_station
Transportation,,taxi_stand,FALSE,2024-01-01,taxi_stand
Transportation,,train_station,TRUE,2024-01-01,train_station
Transportation,,transit_depot,TRUE,2024-01-01,transit_depot
Transportation,,transit_station,TRUE,2024-01-01,transit_station
Transportation,,truck_stop,FALSE,2024-01-01,truck_stop
