main_category,sub_category,sub_type,used,updated_date
Services,,locksmith,FALSE,2024-01-01
Services,,makeup_artist,FALSE,2024-11-07
Services,,moving_company,FALSE,2024-01-01
Services,,nail_salon,FALSE,2024-11-07
Services,,painter,FALSE,2024-01-01
Services,,plumber,FALSE,2024-01-01
Services,,psychic,FALSE,2024-11-07
Services,,real_estate_agency,FALSE,2024-01-01
Services,,roofing_contractor,FALSE,2024-01-01
Services,,storage,FALSE,2024-01-01
Services,,summer_camp_organizer,FALSE,2024-11-07
Services,,tailor,FALSE,2024-01-01
Services,,telecommunications_service_provider,FALSE,2024-01-01
Services,,tour_agency,FALSE,2024-11-07
Services,,tourist_information_center,FALSE,2024-11-07
Services,,travel_agency,FALSE,2024-01-01
Services,,veterinary_care,FALSE,2024-01-01
Shopping,,asian_grocery_store,TRUE,2024-11-07
Shopping,,auto_parts_store,FALSE,2024-01-01
Shopping,,bicycle_store,FALSE,2024-01-01
Shopping,,book_store,FALSE,2024-01-01
Shopping,,butcher_shop,FALSE,2024-11-07
Shopping,,cell_phone_store,FALSE,2024-01-01
Shopping,,clothing_store,FALSE,2024-01-01
Shopping,,convenience_store,FALSE,2024-01-01
Shopping,,department_store,TRUE,2024-01-01
Shopping,,discount_store,FALSE,2024-01-01
Shopping,,electronics_store,FALSE,2024-01-01
Shopping,,food_store,TRUE,2024-11-07
Shopping,,furniture_store,FALSE,2024-01-01
Shopping,,gift_shop,TRUE,2024-01-01
Shopping,,grocery_store,FALSE,2024-01-01
Shopping,,hardware_store,FALSE,2024-01-01
Shopping,,home_goods_store,FALSE,2024-01-01
Shopping,,home_improvement_store,FALSE,2024-01-01
Shopping,,jewelry_store,FALSE,2024-01-01
Shopping,,liquor_store,FALSE,2024-01-01
Shopping,,market,TRUE,2024-01-01
Shopping,,pet_store,FALSE,2024-01-01
Shopping,,shoe_store,TRUE,2024-01-01
Shopping,,shopping_mall,TRUE,2024-01-01
Shopping,,sporting_goods_store,FALSE,2024-01-01
Shopping,,store,FALSE,2024-01-01
Shopping,,supermarket,TRUE,2024-01-01
Shopping,,warehouse_store,TRUE,2024-11-07
Shopping,,wholesaler,FALSE,2024-01-01
Sports,,arena,TRUE,2024-11-07
Sports,,athletic_field,FALSE,2024-01-01
Sports,,fishing_charter,FALSE,2024-11-07
Sports,,fishing_pond,FALSE,2024-11-07
Sports,,fitness_center,FALSE,2024-01-01
Sports,,golf_course,FALSE,2024-01-01
Sports,,gym,FALSE,2024-01-01
Sports,,ice_skating_rink,FALSE,2024-11-07
Sports,,playground,FALSE,2024-11-07
Sports,,ski_resort,FALSE,2024-01-01
Sports,,sports_activity_location,FALSE,2024-11-07
Sports,,sports_club,FALSE,2024-01-01
Sports,,sports_coaching,FALSE,2024-11-07
Sports,,sports_complex,FALSE,2024-01-01
Sports,,stadium,TRUE,2024-01-01
Sports,,swimming_pool,FALSE,2024-01-01
Transportation,,airport,TRUE,2024-01-01
